,USD,EUR,GBP,CAD,CHF,JPY,CNH,DKK,HUF,MXN,PLN,SEK,THB,ZAR
USD,1,1.0623,1.2204,0.73009,1.11986,0.0066,0.13668,0.14238,0.00278,0.05499,0.23812,0.09068,0.02747,0.05276
EUR,0.94117,1,1.15,0.68806,1.05756,0.0063,0.12879,0.13398,0.00262,0.05172,0.22405,0.0859,0.0258,0.04964
GBP,0.8193,0.87,1,0.59933,0.92089,0.00548,0.11218,0.11669,0.00228,0.04505,0.19513,0.07481,0.02247,0.04323
CAD,1.3695,1.4562,1.66764,1,1.53637,0.00915,0.18712,0.19464,0.0038,0.07515,0.32547,0.12478,0.03749,0.07211
CHF,0.98281,0.94534,1.08493,0.65052,1,0.05595,0.12177,0.12666,0.00247,0.0489,0.21179,0.0812,0.02439,0.04692
JPY,149.885,158.69375,182.26368,109.24863,167.91257,1,20.44946,21.2708,0.41525,8.21244,35.56868,13.63609,4.09674,7.88018
CNH,7.31512,7.7591,8.90843,5.34018,8.20719,0.04887,1,1.03974,0.0203,0.40143,1.73863,0.66655,0.20025,0.38519
DKK,7.02205,7.46106,8.56459,5.13407,7.89042,0.04698,0.96101,1,0.01951,0.38594,1.67153,0.64082,0.19252,0.37032
HUF,358.93,381.64142,437.98366,262.55065,403.50737,2.40262,49.14496,51.11884,1,19.73645,85.48008,32.77079,9.84544,18.93795
MXN,18.1802,19.30693,22.16506,13.28691,20.42031,0.12159,2.48708,2.58697,0.0505,1,4.32589,1.65843,0.49825,0.95839
PLN,4.19782,4.45473,5.11503,3.06622,4.7124,0.02806,0.57394,0.597,0.01165,0.23049,1,0.38272,0.11498,0.22117
SEK,11.02455,11.61611,13.33136,7.99152,12.28197,0.07313,1.49588,1.55596,0.03038,0.60074,2.60184,1,0.29968,0.57643
THB,36.381,38.62408,44.34184,26.58085,40.85143,0.24324,4.97548,5.17532,0.10103,1.99814,8.65408,3.31774,1,1.91729
ZAR,18.9447,20.07499,23.04566,13.81479,21.2316,0.12642,2.58589,2.68975,0.05251,1.03849,4.49776,1.72432,0.51804,1